rank,vectorizer,model,accuracy,f1,source
1,sk_tfidf_uni_bi,linear_svc,0.9051124331955228,0.9058152337103393,sklearn
2,sk_tfidf_uni_bi,sgd_hinge,0.9021881617424624,0.904131251235422,sklearn
3,sk_tfidf_uni_bi,logreg_l2,0.9013814661692044,0.9028991262907069,sklearn
4,sk_tfidf_unigram,logreg_l2,0.8973479883029142,0.8987669053301511,sklearn
5,sk_tfidf_unigram,sgd_hinge,0.8966421296763134,0.898725422389092,sklearn
6,sk_count_uni_bi,sgd_log,0.8958354341030553,0.8956460248509951,sklearn
7,sk_count_uni_bi,logreg_l2,0.895331249369769,0.8958249698916098,sklearn
8,sk_tfidf_unigram,linear_svc,0.8930119995966522,0.8937831614776254,sklearn
9,sk_tfidf_uni_bi,sgd_log,0.8886760108903903,0.8908875271792844,sklearn
10,sk_tfidf_unigram,sgd_log,0.8877684783704749,0.8900523560209425,sklearn
11,sk_count_unigram,sgd_log,0.8861550872239589,0.8871112888711129,sklearn
12,sk_count_uni_bi,sgd_hinge,0.8856509024906726,0.8845684039087948,sklearn
13,sk_count_unigram,logreg_l2,0.883835837450842,0.8845460012026458,sklearn
14,sk_count_uni_bi,linear_svc,0.883835837450842,0.8841978287092883,sklearn
15,sk_tfidf_uni_bi,mnb,0.883432489664213,0.884630738522954,sklearn
16,sk_tfidf_uni_bi,cnb,0.8832308157708985,0.8842694383369978,sklearn
17,sk_count_uni_bi,bnb,0.8776847837047494,0.8788090718353482,sklearn
18,sk_tfidf_uni_bi,bnb,0.8776847837047494,0.8788090718353482,sklearn
19,sk_count_unigram,sgd_hinge,0.8773822728647777,0.8763473662802522,sklearn
20,sk_count_uni_bi,mnb,0.8764747403448624,0.8769215311966241,sklearn
21,sk_count_uni_bi,cnb,0.8763739033982051,0.8768086816720257,sklearn
22,tfidf_norm,naive_bayes,0.8680044368256529,0.8670661115060424,scratch
23,sk_tfidf_unigram,mnb,0.8669960673590804,0.866322083713388,sklearn
24,sk_tfidf_unigram,cnb,0.8669960673590804,0.8661049639630495,sklearn
25,bow_binary,naive_bayes,0.8618533830795604,0.859889547964819,scratch
26,sk_count_unigram,linear_svc,0.8604416658263587,0.8611835506519558,sklearn
27,bow,naive_bayes,0.8584249268932137,0.8561770129071912,scratch
28,sk_count_unigram,mnb,0.8567106988000404,0.8548667143294862,sklearn
29,sk_count_unigram,cnb,0.8567106988000404,0.8548073975682027,sklearn
30,sk_count_unigram,bnb,0.8529797317737219,0.8493801652892562,sklearn
31,sk_tfidf_unigram,bnb,0.8529797317737219,0.8493801652892562,sklearn
32,tfidf,naive_bayes,0.849450438640718,0.846288479357562,scratch
33,tfidf_norm,knn,0.8205102349500857,0.8306374881065651,scratch
34,bow_binary,knn,0.8091156599778159,0.8130000987849452,scratch
35,tfidf,knn,0.7899566401129374,0.8030260047281323,scratch
36,bow,knn,0.7572854693959867,0.7639038744482589,scratch
